"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"Dc10878","IsabelSI-South",32,13,0.711111111111111,2,0.0625,0,0.503472222222222,0.333333333333333,1
"Dc10885","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.590012484394507,0.533333333333333,2
"Dc11203","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.163795255930087,0.177777777777778,2
"Dc11714","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.491967871485944,0.377777777777778,1
"Dc13159","IsabelSI-South",42,3,0.933333333333333,3,0.0714285714285714,0,0.522948938611589,0.355555555555556,2
"Dc13592","IsabelSI-South",42,3,0.933333333333333,3,0.0714285714285714,0,0.353700516351119,0.311111111111111,2
"Dc14022","IsabelSI-South",44,1,0.977777777777778,1,0.0227272727272727,0.0227272727272727,0,0,1
"Dc14945","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.145068664169788,0.155555555555556,1
"Dc16747","IsabelSI-South",38,7,0.844444444444444,2,0.0526315789473684,0,0.416842105263158,0.311111111111111,1
"Dc18951","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.469662921348315,0.377777777777778,1
"Dc20232","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.207941483803553,0.177777777777778,2
"Dc22883","IsabelSI-South",38,7,0.844444444444444,3,0.0789473684210526,0,0.635438596491228,0.488888888888889,2
"Dc22887","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.163795255930087,0.177777777777778,1
"Dc27955","IsabelSI-South",36,9,0.8,2,0.0555555555555556,0,0.262519561815336,0.2,1
"Dc28124","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.163795255930087,0.177777777777778,1
"Dc28776","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.43025078369906,0.466666666666667,1
"Dc30071","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.504619225967541,0.466666666666667,1
"Dc31007","IsabelSI-South",29,16,0.644444444444444,2,0.0689655172413793,0,0.188747731397459,0.133333333333333,1
"Dc33714","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.569038701622971,0.555555555555556,2
"Dc33907","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.390543364681296,0.333333333333333,1
"Dc34902","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.182022471910112,0.155555555555556,1
"Dc35779","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.288888888888889,1
"Dc36571","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.495697074010327,0.533333333333333,1
"Dc36616","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.333333333333333,1
"Dc36767","IsabelSI-South",26,19,0.577777777777778,3,0.115384615384615,0,0.46078431372549,0.311111111111111,2
"Dc40235","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.361797752808989,0.333333333333333,1
"Dc41234","IsabelSI-South",27,18,0.6,3,0.111111111111111,0,0.56953179594689,0.288888888888889,2
"Dc46984","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.597503121098627,0.422222222222222,2
"Dc47572","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.453682896379526,0.422222222222222,2
"Dc47935","IsabelSI-South",45,0,1,4,0.0888888888888889,0,0.623470661672909,0.688888888888889,3
"Dc48207","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0.024390243902439,0.0243902439024391,0.0222222222222222,1
"Dc48950","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.574531835205992,0.466666666666667,2
"Dc49080","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.499375780274657,0.4,1
"Dc49184","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.44769038701623,0.422222222222222,2
"Dc51020","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.456679151061174,0.466666666666667,1
"Dc52523","IsabelSI-South",45,0,1,4,0.0888888888888889,0,0.501622971285893,0.533333333333333,2
"Dc55481","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.178259560373382,0.133333333333333,1
"Dc58248","IsabelSI-South",45,0,1,4,0.0888888888888889,0,0.562297128589264,0.488888888888889,2
"Dc62188","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.599001248439451,0.622222222222222,2
"Dc67011","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.333333333333333,1
"locus002","IsabelSI-South",32,13,0.711111111111111,2,0.0625,0,0.347222222222222,0.311111111111111,1
"locus003","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.395505617977528,0.4,1
