"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"Dc48950","locus237",1,1,NA,NA,1,1,1,0
"Dc48950","locus239",1,1,NA,NA,1,1,1,0
"Dc48950","locus248",1,1,NA,NA,1,1,1,0
"Dc48950","locus256",1,1,NA,NA,1,NA,0.053672,0
"Dc48950","locus263",1,1,NA,NA,1,NA,1,0
"Dc48950","locus264",1,1,NA,NA,1,NA,1,0
"Dc48950","locus274",1,0.267726,NA,NA,0.16196,NA,1,0
"Dc48950","locus280",1,1,NA,NA,1,NA,1,0
"Dc48950","locus282",1,0.832616,NA,NA,1,NA,1,0
"Dc48950","locus286",0.6042,1,NA,NA,1,NA,1,0
"Dc48950","locus291",1,1,NA,NA,0.668656,NA,1,0
"Dc48950","locus292",0.66781,1,1,NA,1,NA,1,0
"Dc48950","locus296",1,0.394312,NA,NA,1,NA,1,0
"Dc48950","locus314",1,0.952992,NA,NA,1,NA,1,0
"Dc48950","locus321",1,1,1,NA,0.93887,NA,1,0
"Dc48950","locus322",1,1,NA,NA,1,NA,1,0
"Dc48950","locus323",0.47962,0.637852,NA,NA,0.220984,NA,0.220984,0
"Dc48950","locus332",0.337032,0.922244,NA,NA,0.922244,NA,0.356556,0
"Dc48950","locus358",1,1,NA,NA,1,NA,1,0
"Dc48950","locus359",0.945856,1,NA,NA,1,NA,1,0
"Dc48950","locus360",1,0.359568,NA,NA,1,NA,1,0
"Dc49080","Dc49184",1,1,NA,NA,1,1,1,0
"Dc49080","Dc51020",1,0.95256,NA,NA,1,1,1,0
"Dc49080","Dc52523",1,1,NA,NA,1,1,1,0
"Dc49080","Dc55481",0.55554,1,NA,1,1,NA,0.80092,0
"Dc49080","Dc62188",1,1,NA,1,0.18545,NA,1,0
"Dc49080","Dc67011",1,1,NA,1,1,NA,0.18583,0
"Dc49080","locus003",0.851696,0.81917,NA,0.85896,0.85896,NA,0.85896,0
"Dc49080","locus004",1,0.578208,NA,0.578208,0.13505,NA,1,0
"Dc49080","locus005",1,1,NA,1,1,NA,1,0
"Dc49080","locus006",1,0.71923,1,1,0.589128,NA,1,0
"Dc49080","locus008",1,1,NA,1,1,NA,1,0
"Dc49080","locus013",0.968966,0.350616,NA,0.436704,0.5237,NA,0.15337,0
"Dc49080","locus014",1,1,NA,1,1,NA,1,0
"Dc49080","locus022",1,0.57196,NA,1,1,NA,1,0
"Dc49080","locus024",1,1,NA,1,0.879368,NA,0.50081,0
"Dc49080","locus025",0.876972,1,NA,NA,0.325424,NA,1,0
"Dc49080","locus027",1,1,1,NA,NA,NA,NA,0
"Dc49080","locus030",1,0.122752,NA,NA,1,NA,1,0
"Dc49080","locus035",1,0.43212,NA,NA,0.43212,NA,1,0
"Dc49080","locus038",1,1,NA,NA,1,NA,1,0
"Dc49080","locus039",0.999556,0.82743,NA,NA,0.60792,NA,0.999556,0
"Dc49080","locus040",0.929656,0.626848,NA,NA,0.626848,NA,1,0
"Dc49080","locus041",0.11534,0.64388,1,NA,0.254608,NA,0.36156,0
"Dc49080","locus045",1,1,NA,NA,1,NA,1,0
"Dc49080","locus047",0.16345,1,1,NA,1,NA,1,0
"Dc49080","locus048",1,1,NA,NA,0.818296,NA,1,0
"Dc49080","locus053",1,1,NA,NA,1,NA,1,0
"Dc49080","locus055",1,1,NA,NA,1,NA,1,0
"Dc49080","locus056",1,1,NA,1,1,NA,1,0
"Dc49080","locus058",1,1,NA,1,0.23061,NA,1,0
"Dc49080","locus060",0.67211,0.9594,NA,0.9594,1,NA,1,0
"Dc49080","locus061",1,NA,1,NA,1,NA,1,0
"Dc49080","locus062",1,1,NA,1,1,NA,1,0
"Dc49080","locus064",1,1,NA,1,1,NA,1,0
"Dc49080","locus065",0.84156,1,NA,1,0.58793,NA,1,0
"Dc49080","locus073",1,1,NA,1,1,NA,1,0
"Dc49080","locus074",0.42262,1,NA,1,1,NA,1,0
"Dc49080","locus077",1,1,NA,1,1,NA,1,0
"Dc49080","locus080",1,1,NA,NA,1,NA,1,0
"Dc49080","locus083",0.673182,NA,NA,NA,0.787878,NA,0.775116,0
"Dc49080","locus088",1,0.18296,NA,NA,0.50502,NA,1,0
"Dc49080","locus093",1,1,1,NA,1,NA,1,0
"Dc49080","locus096",1,0.13548,NA,NA,1,NA,1,0
"Dc49080","locus098",0.198912,1,NA,NA,1,NA,1,0
"Dc49080","locus106",1,1,NA,NA,1,NA,1,0
"Dc49080","locus116",0.570776,1,NA,NA,0.749508,NA,1,0
"Dc49080","locus128",0.522324,1,1,1,1,NA,1,0
"Dc49080","locus129",1,1,NA,1,1,NA,1,0
"Dc49080","locus130",1,NA,NA,NA,1,NA,1,0
"Dc49080","locus134",1,0.18995,1,NA,0.404256,NA,1,0
"Dc49080","locus135",0.83553,1,NA,1,1,NA,1,0
"Dc49080","locus137",0.472464,0.42515,NA,1,1,NA,1,0
"Dc49080","locus139",0.25916,0.556752,NA,1,1,NA,1,0
"Dc49080","locus140",0.26756,0.547048,NA,1,1,NA,1,0
"Dc49080","locus146",1,0.141808,NA,1,0.08924,NA,0.23037,0
"Dc49080","locus148",1,1,1,1,1,NA,0.765156,0
"Dc49080","locus151",1,NA,NA,1,0.952864,NA,1,0
"Dc49080","locus157",0.589632,NA,NA,NA,0.809944,NA,1,0
"Dc49080","locus161",0.968624,0.82045,NA,1,1,NA,1,0
"Dc49080","locus165",0.41652,1,NA,NA,1,NA,1,0
"Dc49080","locus170",1,1,NA,1,1,NA,1,0
"Dc49080","locus176",0.997752,NA,NA,NA,0.560682,NA,0.997752,0
"Dc49080","locus184",1,1,NA,1,1,NA,0.87687,0
"Dc49080","locus186",1,1,NA,1,1,NA,1,0
"Dc49080","locus188",0.598938,1,NA,NA,1,NA,0.073304,0
"Dc49080","locus189",1,1,NA,NA,0.79336,1,1,0
"Dc49080","locus190",1,1,NA,NA,1,1,1,0
"Dc49080","locus191",0.76316,NA,NA,NA,0.45723,0.37592,0.76316,0
"Dc49080","locus192",0.812028,0.476032,NA,NA,1,0.2332,1,0
"Dc49080","locus195",1,1,NA,NA,1,1,1,0
"Dc49080","locus202",0.812694,0.812694,NA,NA,0.812694,0.567344,0.14915,0
"Dc49080","locus215",0.700836,NA,NA,NA,0.700836,0.567944,0.700836,0
"Dc49080","locus227",1,1,1,NA,1,1,1,0
"Dc49080","locus231",1,0.682608,NA,NA,1,NA,0.347504,0
"Dc49080","locus235",1,1,NA,NA,1,1,1,0
"Dc49080","locus236",1,1,NA,NA,1,1,1,0
"Dc49080","locus237",1,1,NA,NA,1,1,0.6889,0
"Dc49080","locus239",1,1,NA,NA,1,1,1,0
"Dc49080","locus248",1,1,NA,NA,1,1,1,0
"Dc49080","locus256",1,1,NA,NA,1,NA,1,0
"Dc49080","locus263",0.191096,1,NA,NA,1,NA,1,0
"Dc49080","locus264",1,1,NA,NA,1,NA,1,0
"Dc49080","locus274",0.229752,1,NA,NA,1,NA,1,0
"Dc49080","locus280",0.97878,1,NA,NA,1,NA,0.67376,0
"Dc49080","locus282",1,1,NA,NA,1,NA,1,0
"Dc49080","locus286",1,1,NA,NA,1,NA,1,0
"Dc49080","locus291",0.255744,1,NA,NA,0.265074,NA,1,0
"Dc49080","locus292",1,1,1,NA,1,NA,1,0
"Dc49080","locus296",1,1,NA,NA,0.345208,NA,1,0
"Dc49080","locus301",1,0.473816,NA,NA,1,NA,1,0
"Dc49080","locus314",0.650432,0.650432,NA,NA,0.650432,NA,0.726558,0
"Dc49080","locus321",0.91563,0.91563,1,NA,1,NA,1,0
"Dc49080","locus322",1,1,NA,NA,1,NA,1,0
"Dc49080","locus323",0.410664,0.652768,NA,NA,0.10908,NA,1,0
"Dc49080","locus329",1,1,NA,NA,1,NA,1,0
"Dc49080","locus332",1,1,NA,NA,1,NA,1,0
"Dc49080","locus358",1,1,NA,NA,0.353592,NA,1,0
"Dc49080","locus359",0.522172,0.332984,NA,NA,0.99022,NA,0.400242,0
"Dc49080","locus360",1,1,NA,NA,1,NA,1,0
"Dc49184","Dc51020",1,1,NA,NA,0.96344,1,0.988816,0
"Dc49184","Dc52523",1,1,NA,NA,1,0.99639,1,0
"Dc49184","Dc55481",1,0.10032,NA,1,1,NA,1,0
"Dc49184","Dc58248",1,1,NA,1,1,NA,1,0
"Dc49184","Dc62188",1,1,NA,1,1,NA,1,0
"Dc49184","Dc67011",1,1,NA,1,1,NA,1,0
"Dc49184","locus003",1,1,NA,1,1,NA,1,0
"Dc49184","locus004",1,1,NA,1,1,NA,1,0
"Dc49184","locus005",1,1,NA,1,1,NA,1,0
"Dc49184","locus006",1,0.86439,1,1,0.10164,NA,1,0
"Dc49184","locus008",0.808116,0.808116,NA,0.808116,0.38414,NA,0.38414,0
"Dc49184","locus014",1,0.29921,NA,1,1,NA,1,0
"Dc49184","locus022",1,1,NA,0.94745,0.94745,NA,1,0
"Dc49184","locus024",1,1,NA,1,1,NA,1,0
"Dc49184","locus025",0.714208,1,NA,NA,1,NA,1,0
"Dc49184","locus027",0.726176,0.24352,NA,NA,NA,NA,NA,0
"Dc49184","locus030",0.839814,0.932716,NA,NA,0.425432,NA,1,0
"Dc49184","locus035",0.685728,0.4256,NA,NA,0.685728,NA,0.685728,0
"Dc49184","locus038",1,0.815904,NA,NA,0.784288,NA,1,0
"Dc49184","locus040",0.960208,0.960208,NA,NA,0.960208,NA,1,0
"Dc49184","locus041",1,1,NA,NA,0.660368,NA,1,0
"Dc49184","locus045",1,1,NA,NA,0.126864,NA,1,0
"Dc49184","locus048",0.727184,1,NA,NA,1,NA,1,0
"Dc49184","locus053",0.650304,0.468024,NA,NA,0.650304,NA,0.468024,0
"Dc49184","locus055",0.544458,0.132232,NA,NA,1,NA,1,0
"Dc49184","locus056",1,1,NA,1,1,NA,0.16419,0
"Dc49184","locus058",0.62354,0.62354,NA,1,0.62354,NA,0.62354,0
"Dc49184","locus060",1,1,NA,1,1,NA,1,0
"Dc49184","locus061",0.375748,NA,NA,NA,0.052104,NA,0.63654,0
"Dc49184","locus062",1,1,NA,1,1,NA,1,0
"Dc49184","locus064",0.4062,0.10293,NA,1,1,NA,1,0
"Dc49184","locus065",1,1,NA,1,1,NA,1,0
"Dc49184","locus073",1,1,NA,1,1,NA,1,0
"Dc49184","locus074",1,1,NA,1,1,NA,1,0
"Dc49184","locus076",1,1,NA,NA,1,NA,1,0
"Dc49184","locus077",1,1,NA,1,1,NA,1,0
"Dc49184","locus080",1,0.696856,NA,NA,1,NA,1,0
"Dc49184","locus083",1,NA,NA,NA,1,NA,1,0
"Dc49184","locus088",1,1,NA,NA,1,NA,1,0
"Dc49184","locus093",1,1,1,NA,1,NA,1,0
"Dc49184","locus096",1,1,NA,NA,1,NA,1,0
"Dc49184","locus098",1,1,NA,NA,1,NA,1,0
"Dc49184","locus100",1,1,NA,NA,0.27676,NA,0.654192,0
"Dc49184","locus106",1,1,NA,NA,1,NA,1,0
"Dc49184","locus116",1,1,NA,NA,1,NA,0.655248,0
"Dc49184","locus119",1,0.387608,NA,NA,1,NA,1,0
"Dc49184","locus120",1,1,NA,NA,0.964384,NA,1,0
"Dc49184","locus128",1,1,NA,1,0.83182,NA,1,0
"Dc49184","locus129",1,0.65309,NA,0.928912,1,NA,1,0
"Dc49184","locus130",0.730344,NA,NA,NA,0.730344,NA,0.730344,0
"Dc49184","locus134",0.93596,1,NA,NA,1,NA,1,0
"Dc49184","locus135",1,1,NA,1,1,NA,1,0
"Dc49184","locus137",1,1,NA,1,1,NA,1,0
"Dc49184","locus139",1,0.44457,NA,1,0.7983,NA,0.797152,0
"Dc49184","locus140",1,0.44839,NA,1,0.800032,NA,0.800032,0
"Dc49184","locus146",0.317992,1,NA,1,0.14834,NA,1,0
"Dc49184","locus148",1,1,1,1,0.418272,NA,1,0
"Dc49184","locus151",1,NA,NA,1,1,NA,1,0
"Dc49184","locus157",0.405052,NA,NA,NA,0.405052,NA,0.115662,0
"Dc49184","locus161",0.11196,1,NA,1,1,NA,0.981288,0
"Dc49184","locus165",1,1,NA,NA,1,NA,1,0
"Dc49184","locus170",1,0.602608,NA,1,0.28829,NA,1,0
"Dc49184","locus176",1,NA,NA,NA,0.327972,NA,1,0
"Dc49184","locus184",1,1,NA,1,1,NA,0.54986,0
"Dc49184","locus186",1,1,NA,1,0.1317,NA,1,0
"Dc49184","locus188",1,1,NA,NA,1,NA,1,0
"Dc49184","locus189",1,1,NA,NA,1,1,1,0
"Dc49184","locus190",1,1,NA,NA,1,1,0.61822,0
"Dc49184","locus191",1,NA,NA,NA,0.556672,1,1,0
"Dc49184","locus192",1,1,NA,NA,1,1,1,0
"Dc49184","locus195",1,1,NA,NA,1,1,1,0
"Dc49184","locus202",1,1,NA,NA,1,1,1,0
"Dc49184","locus215",1,NA,NA,NA,1,1,1,0
"Dc49184","locus227",1,1,1,NA,1,1,1,0
"Dc49184","locus231",1,1,NA,NA,1,NA,1,0
"Dc49184","locus235",1,1,NA,NA,0.60756,1,1,0
"Dc49184","locus236",1,0.99409,NA,NA,1,1,0.99409,0
"Dc49184","locus237",1,1,NA,NA,1,1,1,0
"Dc49184","locus239",1,1,NA,NA,1,1,1,0
"Dc49184","locus248",0.55291,0.55291,NA,NA,0.55291,0.859276,0.859276,0
"Dc49184","locus256",1,1,NA,NA,0.475032,NA,0.922044,0
"Dc49184","locus263",1,1,1,NA,1,NA,1,0
"Dc49184","locus264",0.149208,0.872178,NA,NA,0.872178,NA,0.872178,0
"Dc49184","locus274",1,1,NA,NA,1,NA,1,0
"Dc49184","locus280",1,1,NA,NA,1,NA,1,0
"Dc49184","locus282",1,1,NA,NA,1,NA,1,0
"Dc49184","locus286",1,1,NA,NA,0.891648,NA,1,0
"Dc49184","locus291",0.513816,1,NA,NA,1,NA,1,0
"Dc49184","locus292",1,0.981152,1,NA,0.4335,NA,1,0
"Dc49184","locus296",1,1,NA,NA,1,NA,1,0
"Dc49184","locus301",1,1,1,NA,1,NA,1,0
"Dc49184","locus314",1,1,NA,NA,1,NA,1,0
"Dc49184","locus321",1,1,1,NA,1,NA,1,0
"Dc49184","locus322",1,1,NA,NA,0.46308,NA,0.786858,0
"Dc49184","locus323",1,1,NA,NA,0.20748,NA,1,0
"Dc49184","locus329",1,1,NA,NA,1,NA,1,0
"Dc49184","locus332",1,1,NA,NA,1,NA,1,0
"Dc49184","locus358",1,1,NA,NA,1,NA,1,0
"Dc49184","locus359",1,1,NA,NA,0.796476,NA,0.795792,0
"Dc49184","locus360",0.398904,0.578654,NA,NA,0.120424,NA,0.398904,0
"Dc51020","Dc52523",1,1,NA,NA,1,1,1,0
"Dc51020","Dc55481",1,1,NA,1,0.4735,NA,0.766816,0
"Dc51020","Dc58248",0.910064,0.13676,NA,0.910064,0.910064,NA,0.910064,0
"Dc51020","Dc62188",1,1,NA,1,1,NA,1,0
"Dc51020","Dc67011",0.99469,1,NA,1,1,NA,1,0
"Dc51020","locus003",1,0.81446,NA,1,1,NA,1,0
"Dc51020","locus004",1,1,NA,1,1,NA,1,0
"Dc51020","locus005",1,1,NA,1,1,NA,1,0
"Dc51020","locus006",0.08994,1,1,1,1,NA,1,0
"Dc51020","locus008",0.77039,1,NA,1,1,NA,1,0
"Dc51020","locus013",0.40296,0.40296,NA,0.51248,0.40296,NA,0.917056,0
"Dc51020","locus014",0.795168,0.795168,NA,0.795168,0.24365,NA,0.795168,0
"Dc51020","locus022",0.63618,1,NA,1,0.995808,NA,1,0
"Dc51020","locus024",0.74987,1,NA,1,1,NA,1,0
"Dc51020","locus025",1,1,NA,NA,1,NA,0.799616,0
"Dc51020","locus027",0.751096,0.963614,NA,NA,NA,NA,NA,0
"Dc51020","locus030",1,1,NA,NA,1,NA,0.297736,0
"Dc51020","locus035",1,0.057272,NA,NA,1,NA,1,0
"Dc51020","locus038",1,1,NA,NA,1,NA,1,0
"Dc51020","locus039",0.196818,0.196818,NA,NA,0.113792,NA,0.196818,0
"Dc51020","locus040",1,1,NA,NA,1,NA,1,0
"Dc51020","locus041",1,1,NA,NA,0.090576,NA,1,0
"Dc51020","locus045",1,1,NA,NA,1,NA,1,0
"Dc51020","locus047",1,1,1,NA,1,NA,1,0
"Dc51020","locus048",0.44535,0.170504,NA,NA,0.736046,NA,0.733976,0
"Dc51020","locus053",1,1,NA,NA,1,NA,1,0
"Dc51020","locus055",1,1,NA,NA,1,NA,1,0
"Dc51020","locus056",0.246616,0.05359,NA,1,1,NA,1,0
"Dc51020","locus058",1,1,NA,0.70957,1,NA,1,0
"Dc51020","locus060",1,1,NA,1,1,NA,1,0
"Dc51020","locus061",1,NA,NA,NA,1,NA,1,0
"Dc51020","locus062",1,0.63348,NA,1,1,NA,1,0
"Dc51020","locus064",0.39964,0.39964,NA,1,0.08543,NA,1,0
"Dc51020","locus073",1,1,NA,1,0.82224,NA,0.55463,0
"Dc51020","locus074",1,0.4056,NA,1,1,NA,1,0
"Dc51020","locus076",1,0.574704,NA,NA,0.839058,NA,1,0
"Dc51020","locus077",1,1,NA,1,1,NA,1,0
"Dc51020","locus080",1,1,NA,NA,1,NA,1,0
"Dc51020","locus083",0.779324,NA,NA,NA,0.626988,NA,0.779324,0
"Dc51020","locus088",1,1,NA,NA,0.416688,NA,1,0
"Dc51020","locus093",1,1,1,NA,1,NA,1,0
"Dc51020","locus096",1,1,NA,NA,1,NA,1,0
"Dc51020","locus098",1,1,NA,NA,1,NA,1,0
"Dc51020","locus100",1,1,NA,NA,1,NA,1,0
"Dc51020","locus106",1,1,NA,NA,0.54572,NA,1,0
"Dc51020","locus116",1,1,NA,NA,1,NA,1,0
"Dc51020","locus119",0.996114,0.237848,NA,NA,0.996114,NA,0.996114,0
"Dc51020","locus120",1,1,NA,NA,1,NA,1,0
"Dc51020","locus128",0.11143,1,NA,1,1,NA,1,0
"Dc51020","locus129",0.3178,1,NA,1,1,NA,0.06941,0
"Dc51020","locus130",1,NA,NA,NA,1,NA,0.359112,0
"Dc51020","locus134",1,1,NA,NA,1,NA,1,0
"Dc51020","locus135",1,1,NA,1,1,NA,1,0
"Dc51020","locus137",1,1,NA,1,1,NA,1,0
"Dc51020","locus139",0.22264,1,NA,1,0.12993,NA,1,0
"Dc51020","locus140",0.232232,1,NA,1,0.13219,NA,1,0
"Dc51020","locus146",1,0.48672,NA,1,0.46754,NA,0.708606,0
"Dc51020","locus148",0.54126,1,1,1,0.54126,NA,1,0
"Dc51020","locus151",0.18908,NA,NA,1,1,NA,1,0
"Dc51020","locus157",0.713984,NA,NA,NA,0.713984,NA,0.656688,0
"Dc51020","locus161",0.570688,0.582272,NA,0.570688,0.11431,NA,0.570688,0
"Dc51020","locus165",1,0.377656,NA,NA,1,NA,1,0
"Dc51020","locus170",0.2821,1,NA,1,1,NA,1,0
"Dc51020","locus176",1,NA,NA,NA,1,NA,0.605328,0
"Dc51020","locus184",0.98081,1,NA,1,1,NA,1,0
"Dc51020","locus186",1,1,NA,1,1,NA,1,0
"Dc51020","locus188",1,1,NA,NA,1,NA,1,0
"Dc51020","locus189",1,1,NA,NA,1,1,1,0
"Dc51020","locus190",1,1,NA,NA,1,0.71669,1,0
"Dc51020","locus191",1,NA,NA,NA,1,1,1,0
"Dc51020","locus192",1,1,NA,NA,0.08394,1,1,0
"Dc51020","locus195",0.775272,0.737272,NA,NA,0.69994,0.775272,0.775272,0
"Dc51020","locus202",1,1,NA,NA,1,1,1,0
"Dc51020","locus215",1,NA,NA,NA,0.266888,1,1,0
"Dc51020","locus227",1,1,1,NA,0.925884,1,1,0
"Dc51020","locus231",0.209808,1,NA,NA,1,NA,1,0
"Dc51020","locus235",1,1,NA,NA,1,1,0.76618,0
"Dc51020","locus236",0.1931,0.257544,NA,NA,1,1,1,0
"Dc51020","locus237",1,1,NA,NA,1,1,1,0
"Dc51020","locus239",0.29918,1,NA,NA,1,1,1,0
"Dc51020","locus248",1,0.63948,NA,NA,1,1,0.976104,0
"Dc51020","locus256",1,1,NA,NA,1,NA,1,0
"Dc51020","locus263",1,1,1,NA,1,NA,1,0
"Dc51020","locus264",0.463,0.139576,NA,NA,0.332058,NA,0.409496,0
"Dc51020","locus274",1,1,NA,NA,1,NA,1,0
"Dc51020","locus280",0.064296,1,NA,NA,1,NA,1,0
"Dc51020","locus282",1,1,NA,NA,1,NA,0.3594,0
"Dc51020","locus286",0.235152,0.97452,NA,NA,0.638664,NA,0.97452,0
"Dc51020","locus291",1,1,NA,NA,1,NA,1,0
"Dc51020","locus292",1,1,1,NA,1,NA,1,0
"Dc51020","locus296",0.264768,1,NA,NA,1,NA,1,0
"Dc51020","locus301",1,1,1,NA,1,NA,1,0
"Dc51020","locus314",0.579438,1,NA,NA,1,NA,0.222248,0
"Dc51020","locus321",1,1,1,NA,1,NA,1,0
"Dc51020","locus322",1,0.089928,NA,NA,0.18531,NA,1,0
"Dc51020","locus323",1,1,NA,NA,0.174304,NA,1,0
"Dc51020","locus329",1,1,NA,NA,1,NA,0.803328,0
"Dc51020","locus332",1,1,NA,NA,1,NA,1,0
"Dc51020","locus359",0.640312,0.841608,NA,NA,0.841608,NA,1,0
"Dc51020","locus360",1,1,NA,NA,0.781072,NA,0.781072,0
"Dc52523","Dc55481",1,1,NA,1,1,NA,1,0
"Dc52523","Dc58248",1,1,NA,1,1,NA,1,0
"Dc52523","Dc62188",1,1,NA,1,1,NA,1,0
"Dc52523","Dc67011",0.940896,1,NA,1,1,NA,0.53195,0
"Dc52523","locus003",1,1,NA,1,1,NA,1,0
"Dc52523","locus004",1,1,NA,1,1,NA,1,0
"Dc52523","locus005",1,1,NA,1,1,NA,1,0
"Dc52523","locus006",0.871428,0.871428,1,1,1,NA,0.871428,0
"Dc52523","locus008",1,0.362464,NA,1,1,NA,0.13313,0
"Dc52523","locus014",1,1,NA,0.34221,1,NA,1,0
"Dc52523","locus022",0.67732,1,NA,0.33996,1,NA,1,0
"Dc52523","locus024",0.17099,0.218328,NA,1,1,NA,1,0
"Dc52523","locus025",1,1,NA,NA,1,NA,1,0
"Dc52523","locus030",0.193432,1,NA,NA,1,NA,1,0
"Dc52523","locus035",0.387248,1,NA,NA,1,NA,1,0
"Dc52523","locus038",1,0.519544,NA,NA,1,NA,1,0
"Dc52523","locus039",0.925632,1,NA,NA,1,NA,0.149368,0
"Dc52523","locus040",1,1,NA,NA,1,NA,1,0
"Dc52523","locus041",1,1,NA,NA,0.558072,NA,1,0
"Dc52523","locus045",0.518068,0.940814,NA,NA,0.274668,NA,0.1804,0
"Dc52523","locus047",1,1,1,NA,1,NA,1,0
"Dc52523","locus048",0.35676,1,NA,NA,1,NA,1,0
"Dc52523","locus055",1,1,NA,NA,1,NA,1,0
"Dc52523","locus056",0.39088,1,NA,1,1,NA,1,0
"Dc52523","locus058",0.39618,1,NA,1,1,NA,1,0
"Dc52523","locus060",0.25395,1,NA,1,1,NA,1,0
"Dc52523","locus061",0.9624,NA,NA,NA,1,NA,1,0
"Dc52523","locus062",0.7071,0.735096,NA,0.791166,0.791166,NA,0.791166,0
"Dc52523","locus064",0.3632,0.56696,NA,1,1,NA,1,0
"Dc52523","locus065",1,0.632424,NA,1,0.16085,NA,1,0
"Dc52523","locus073",1,1,NA,0.4998,1,NA,1,0
"Dc52523","locus074",1,0.824358,NA,1,0.13284,NA,0.263416,0
"Dc52523","locus076",1,1,NA,NA,1,NA,1,0
"Dc52523","locus077",1,1,NA,1,1,NA,1,0
"Dc52523","locus080",0.24656,0.359946,NA,NA,1,NA,1,0
"Dc52523","locus083",0.61266,NA,NA,NA,0.775066,NA,0.70224,0
"Dc52523","locus088",0.488672,1,NA,NA,0.488672,NA,1,0
"Dc52523","locus096",0.12036,0.744852,NA,NA,0.744852,NA,0.249372,0
"Dc52523","locus098",0.725742,0.20124,NA,NA,1,NA,1,0
"Dc52523","locus100",1,0.277472,NA,NA,1,NA,1,0
"Dc52523","locus106",1,0.638328,NA,NA,1,NA,1,0
"Dc52523","locus116",0.691136,0.74118,NA,NA,0.74118,NA,0.821896,0
"Dc52523","locus119",0.943256,0.964782,NA,NA,0.964782,NA,1,0
"Dc52523","locus120",0.592944,0.592944,NA,NA,0.457112,NA,0.592944,0
"Dc52523","locus128",1,1,NA,1,1,NA,1,0
"Dc52523","locus129",1,1,NA,1,1,NA,1,0
"Dc52523","locus130",0.315048,NA,NA,NA,0.991972,NA,0.991972,0
"Dc52523","locus134",1,1,NA,NA,1,NA,1,0
"Dc52523","locus135",1,1,NA,1,1,NA,1,0
"Dc52523","locus137",0.31234,1,NA,1,1,NA,1,0
"Dc52523","locus139",1,1,NA,1,0.0513,NA,1,0
"Dc52523","locus140",1,1,NA,1,0.05042,NA,1,0
"Dc52523","locus146",0.1044,1,NA,1,1,NA,1,0
"Dc52523","locus148",1,1,1,1,1,NA,1,0
"Dc52523","locus151",1,NA,NA,1,1,NA,1,0
"Dc52523","locus157",1,NA,NA,NA,1,NA,1,0
"Dc52523","locus161",1,0.95283,NA,1,1,NA,1,0
"Dc52523","locus165",1,1,NA,NA,0.415864,NA,1,0
"Dc52523","locus170",1,1,NA,1,0.52716,NA,1,0
"Dc52523","locus176",1,NA,NA,NA,1,NA,1,0
"Dc52523","locus184",1,1,NA,1,1,NA,0.53551,0
"Dc52523","locus186",1,1,NA,1,1,NA,1,0
"Dc52523","locus188",0.45368,0.936936,NA,NA,0.92409,NA,0.936936,0
"Dc52523","locus189",0.89528,1,NA,NA,0.89528,0.89528,1,0
"Dc52523","locus190",1,1,NA,NA,0.88546,1,1,0
"Dc52523","locus191",1,NA,NA,NA,1,1,1,0
"Dc52523","locus192",1,1,NA,NA,1,1,1,0
"Dc52523","locus195",1,1,NA,NA,1,1,0.2381,0
"Dc52523","locus202",1,1,NA,NA,1,1,1,0
"Dc52523","locus215",0.38432,NA,1,NA,1,1,1,0
"Dc52523","locus227",1,1,1,NA,1,0.513516,1,0
"Dc52523","locus231",1,1,NA,NA,1,NA,0.220264,0
"Dc52523","locus235",0.61042,1,NA,NA,1,1,1,0
"Dc52523","locus237",1,1,NA,NA,1,1,1,0
"Dc52523","locus239",1,1,NA,NA,1,1,1,0
"Dc52523","locus248",1,1,NA,NA,1,1,1,0
"Dc52523","locus256",1,1,NA,NA,1,NA,1,0
"Dc52523","locus263",1,1,1,NA,0.59688,NA,1,0
"Dc52523","locus264",1,1,NA,NA,0.610856,NA,1,0
"Dc52523","locus274",0.665552,0.665552,NA,NA,0.665552,NA,0.665552,0
"Dc52523","locus282",1,1,NA,NA,1,NA,1,0
"Dc52523","locus286",1,1,NA,NA,1,NA,1,0
"Dc52523","locus291",1,1,NA,NA,0.864912,NA,0.208056,0
"Dc52523","locus292",1,1,1,NA,1,NA,0.97728,0
"Dc52523","locus296",1,1,NA,NA,1,NA,1,0
"Dc52523","locus301",1,0.566904,NA,NA,1,NA,1,0
"Dc52523","locus314",1,1,NA,NA,1,NA,1,0
"Dc52523","locus321",0.406896,0.28033,1,NA,1,NA,1,0
"Dc52523","locus322",1,1,NA,NA,1,NA,1,0
"Dc52523","locus323",1,1,NA,NA,1,NA,1,0
"Dc52523","locus329",1,0.901308,NA,NA,0.073912,NA,1,0
"Dc52523","locus332",1,0.133992,NA,NA,1,NA,1,0
"Dc52523","locus358",1,1,NA,NA,1,NA,1,0
"Dc52523","locus359",1,1,NA,NA,1,NA,1,0
"Dc52523","locus360",1,1,NA,NA,1,NA,1,0
"Dc55481","Dc58248",1,1,NA,1,1,NA,1,0
"Dc55481","Dc62188",1,1,NA,1,1,NA,1,0
"Dc55481","Dc67011",1,1,NA,1,0.24632,NA,1,0
