Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	549	60	213	42	77	243	81	1229	99	323	119	130	63	X	93	X	8	461	17	1210	X	274	29	126	8	31	X	46	37	64	13	74	X
	378	87	189	109	67	282	105	423	113	308	213	81	97	1	162	X	17	329	X	409	X	224	36	138	13	39	X	35	74	52	23	67	X
	X	1	2	1	X	2	X	2	X	X	X	X	1	X	X	X	X	1	X	1	X	X	X	X	X	X	X	X	X	X	X	X	X
	356	40	120	41	46	169	30	671	63	237	94	107	34	X	71	X	3	331	6	977	X	224	8	86	10	18	X	34	22	4	5	84	X
	311	98	198	177	22	514	228	294	193	368	243	83	214	1	242	X	33	292	3	212	X	173	15	168	14	35	X	56	171	8	61	50	X
	439	101	197	124	55	482	128	418	217	436	235	128	116	X	186	X	11	395	6	615	X	214	25	194	7	83	X	50	104	5	19	113	X
	313	66	175	131	7	248	97	215	160	331	236	27	148	1	128	X	17	287	1	81	X	187	6	79	2	34	X	34	71	11	13	30	X
	582	60	223	136	16	571	155	577	185	612	341	44	150	X	215	X	8	395	3	173	X	264	12	199	5	91	X	57	120	14	29	53	X
	392	52	106	90	13	690	172	924	132	245	287	134	170	1	266	X	19	244	5	109	1	261	6	240	5	43	X	78	163	16	47	168	X
	1	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
	605	73	280	98	82	460	110	847	142	507	183	123	114	X	169	X	4	542	14	1212	X	280	25	186	16	89	X	70	92	18	19	153	X
